opini_dokumen,opini_label
Ac kurang dingin,n
Untuk infrastruktur kelas sebagiknya dilengkapi dan diperhatikan seperti ac proyektor dll untuk dosennya lebih ketepatan waktu mulai kuliah sesuai janji yang diberikan diawal kuliah contoh masuk 07.30 tapi dosennya jam 08.00 padahal diperjanjian telat 15 menit boleh pulang,p
"Ac nya tidak dingin, kalau bisa diganti lcd diperbaiki",n
Penambahan fasilitas dalam pengajaran,p
"Saran saya sebaiknya proyektor diganti yang baru agar proses belajar mengajar dapat berjalan dengan baik, kampus 3 dipasang ac dan wifi agar lebih nyaman dan kampus harus dicat baru agar lebih bagus dan suasana lebih baru",p
Ac diperbaiki wifi dikampus 2 wc dikampus diperbaiki tegelnya diganti keramik ac dibagian barat,p
"Ac kurang dingi, tembok sudah banyak coretan",n
Ac tolong diperbaiki supaya dingin proyektor diperbaiki,p
Kami kampus 3 sangat membutuhkan ac dan internet gratis (wifi),n
Menjelaskan dengan tegas dan jelas dan memberi pembelajaran sampai jelas sehingga mahasiswa paham,p
"Ruangan s-207 whiteboardnya diganti,penghapus serta spidol juga harus disediakan ac juga ditambah satu lagi",p
"Menjelaskan dengan pelan supaya saya bisa memahami dan paham dengan materi yang diberikan dra. suprih ambawani, m.pd",p
"Kampus kurang berwarna, asri dan satpam kurang ramah, butuh ac, kamar mandi kurang bersih, kampus dicat ulang, ganti bangku belajar yang lebih bagus, 'butuh ac'",n
Pelayanan fasilitas kursi yang kira2nya dirubah/diganti menjadi meja putih agar terlihat elegan,p
"Saran saya jika ac sudah ada ,kipas angin jangan dihidupkan ,spidol tlong diisi selalu, proyektor, papan tulis",p
Terlalu cepat dalam memberikan materi,n
"Tambahkan sound sistem di hap runang kelas agar ketika presentasi lebih baik, jika takut mengganggu kelas lain pasang peredam suara",p
"Saran mohon untuk kebersihan tembok, dan papan tuls diperbaharui lagi karena kurang nyaman untuk dilihat",p
Jaringan wifi mohon dipermudah untuk diakses,p
"Sebaiknya papan tulis,kursi,spidol diperbaharui di kelas",p
Ruang s-207 ac nya tidak terasa dibandingkan kipas,n
Ac diaktifkan jangan sebagai aksesoris saja,n
Ac diruangan harus ditamabh ddemi kenyamanan mahasiswa dan lcd juga lebih diperhatikan ditambah spidolnya dan juga cpu untuk lcd biar lebih efisien,p
Harus miningkatkan fasilitas umum mahasiswa diluar kelas untuk tempat berkumpul yang lebih nyaman fasilitas kelas lumayan lengkap tapi kalau tidak difungsikan dengan baik sama saja,p
"Ac tidak dingin, ganti whiteboard kotor sekali, kalau dihapus masih hitam dan tidak terlihat tulisan dosenya spidol habis ohp mati saat ingin mulai pembelajaran",n
Ac kurang dingin kalau bisa 3 ac perkelas spidol kadang macet sehingga diperhatikan papan tulis kotor sehingga kurang maksimal,n
"Tidak ada saran. dosennya sangat disiplin dua jempol untuk mom dra. suprih ambawani, m.pd",p
Ruangan kurang bersih dan nyaman,n
Lumayan nyaman tetapi materinya terlalu cepat dibuatkan pada saat mata kuliah,p
Saran untuk kedepannya bagi yang terlambat hanya yang bisa masuk sesuai dengan konsekuensi yang diberikan,p
Butuh ac dan wifi,n
No,n
Perbaikan ac yang mati dan mengecat gedung ulang karna sudah terlihat usam,p
Fasilitas kurang memadai seperti ac,n
Bisa lebih baik dari yang sebelumnya,p
Menyediakan tempat yang lebih nyaman dalam pembelajaran karena ini sangat panas,p
Kami butuh ac,n
"Lcd, wifi, perbaikan kelas",p
Kami butuh fasilitas yang sama dengan kampus 1,n
Fasilitas ac belum ada (kampus 3),n
Minta ac !!,n
Perbaiki lcd,p
Perlu adanya tambahan fasilitas dan infrastruktur dilengkapi dan dipenuhi,p
Kami hanya butuh ac dan jaringan !!!,n
"Kami butuh ac dan proyektor yang begitu bagus, kamar mandi bersih",n
Fasilitas ampun,n
"Semoga semakin lebih baik lagi dan berkualitas, kami butuh ac",p
Kami butuh ac dan fasilitas lainnya,n
Digidaw awe awe,n
Free wifinya mana?,n
Perlu penambahan atap parkiran kampus 3,p
Wifi tolong ditambahi diruang yang gak terjangkau dengan wifi,p
Memberiakn conoth aplikasi/gambar lebih banyak pada materi yang diberika,p
Prikitiw,n
Perbanyak wifi perbanyak tempat sampah kampis i direnovasi minimal dicat ulang,p
Lebih disiplin waktu dalam memulai matakuliah,p
Lebih disiplin waktu dalam memulai matakuliah,p
Lebih disiplin waktu dalam memulai matakuliah,p
Lebih disiplin waktu dalam memulai matakuliah,p
"Untuk para dosen agar bisa lebih tepat waktu dalam mengajar kuliah untuk kampus , lebih meningkatkanfasilitas kampus masih banyak kekurangan",p
"Pengembangan materi lebih baik lagi agar mahasiswa lebih fokus (nidia lestari, m.eng) sarana penunjang seperti ac/kipas dioptimalkan karena kurang",p
"Untuk ruang kelas suapay lebih rapi,kursi awal masuk kadang berantakan sehinggan fokus pelajaran kurang nyaman",p
Menyediakan konektor hdmi ke vga port ,p
"Harus lebih diajak berfikir bersama melalui materi yang disampaikan (nidia lestari ,m.eng)",p
Fasilitas ohp /lcd ditata agar lebih nyaman serta diberi modul atau acuan buku dalam setiap mata kuliah untuk memudahkan dalam belajar,p
"Tolong dalam menyampaikan materi diberi contoh aplikasi berupa gambar yang sering dijumpai mahasiswa di lingkungan sekitar, supaya mudah dipahami",p
Menurut saya sebaiknya ibu saat mengajar suaranya diperjelas dan juga teags agar kami sebagai mahasiswa dapat benar benar bisa mengikuti perkuliahan dengan maksimal,n
"Lebih asyik ngajarnya (nidia lestari ,m.eng)",n
"Ibu dosenya lebih asyik dalam mengajarnya (nidia lestari ,m.eng) ",n
Sediakan ruangan khusus para perokok agar tidak mengganggu teman yang tidak merokok,p
Sediakan ruangan khusus untuk para perokok,p
"Tolong saat menyampaikan materi, contohnya di jelasin dan digambarkan secara rinci dan tidak hanya memberi contoh dengan gerakan saja (nidia lestari ,m.eng)",p
Dalam memnyampaikan pendapat harap lebih bervariasi dan memberikan contoh dan jagnan bersikap formal,p
"Selalu ada softcopi disetiap materinya, agar mahasiswa memahami materi yang diajarkan (nidia lestari ,m.eng)",p
Pengok butuh ac,n
Jika bisa ruangan kelas diberi ac dan fasilitas wifi untuk meningkatkan minat belajar mahasiswa,p
Kami mau kampus 3 mendapatkan fasilitas yang sama dengan kampus 1,n
Kami minta ac dikampus 3,n
"Untuk kampus 3 area parkir diperbaiki, terlalu acak2an kurang rapi. motor sering mbaret. fasilitas portal juga diberi agar mahasiswa kampus 3 tidak susah melihat nilai yang harus dikampus 1 ",p
Fasilitas internet perlu diperbaharui,p
Kampus 3 kampus yang menyedihkan,n
Ac nya mati,n
Fasilitas gedung parkiran dan olahraga,p
Fasilitas wifi diperbaharui karena lemot,p
Harusnya lebih diperbanyak dosen muda agar lebih fresh dan tidak bosan,n
Sarana penunjangnya kurang memadai,n
Kelas mohon dikasih ac,n
Fasilitas ac saat belajar dikelas,n
Ruangan diperbanyak acnya,n
Pendingin ruangan kurang mumpuni wifi kurang,n
"Good lecture (gunawan budi susilo s.pd, m.eng)",p
"Toilet lebih diperhatikan kebersihannya, parkiran diperluas, ac dikampus 3",p
Wifi,p
Ac kurang dingin ac ditambahkan,n
Wifi lelet tembok kotor wc kurang banyak,n
Tingkatkan,p
Sarana dan prasarana lebih ditingkatkan kualitas dan kenyamanan pada saat dikampus,p
Kurang ac,n
"Ruangan sempit, ac ditambah",n
Tembok dan kursi kotor,n
"Fasilitas diruang kelas kipas/ac digedung 3, wifi, penutup parkir, kantin",p
Good class,p
Parkir kurang luas,n
Kalau bisa ruangan ac nya diperbaiki tembok dan kursi banyak coretan harap dicat lagi,p
Wifi kurang lancar dan tidak diketahui mahasiswa hujan depan baa bocor,n
Tingkatkan sarana dan prasarana pembelajaran tingkatkan sarana kemanan (cctv),p
Ruangan tidak berac,n
Saran2 agar nilai dipermudah,p
Peraturan keluar masuk ruangan harap dipertegas dan keterlambatan mahasiswa,p
Tingkatkan wifi kampus biar makin jos ditambah pepohonan biar rindang,p
Lantai dikeramik biar bersih,p
Ac tidak dingin tingkatkan wifi kampus biar makin jos,n
"Wifi dikampus diadakan seperti ac, ac biar sejuk, kursi yang nyaman, keamanan parkiran (kartena helm saya pernah hilang (kampus3)",p
"Lcdnya tolong diganti apalagi ac yang cuman dijadikan accecoris saja, acnya panas, ini kampus atau mess??? masih banyak mahasiswa yang tidur",n
"Ac panas, ruanga kelas diberi microphone ruang kelas diberi gorden agar tidak mengganggu konsentrasi",n
Wifi dikampus 3 diadakan sesuai janji pihak kampus pada saat penerimaan maba yaitu free wifi,p
"Berikan fasilitas yang baik, wifi beserta password tolong kampus nya dicat agar tidak kucel",p
"Wifi kampus diadakan sesuai janji pihak kampus pada saat penerimaan maba yaitu free wifi, tambahan ac disetiap ruangan karena jika mahasiswa merasa panas itu membuat mereka tidak konsen belajar",p
"Kepada yth kampus akprind tercinta tolong fasilitas kampus diperbaiki lagi, ini ruangan atau mesin open manusia kalau memang ac mbok ya dimaksimalkan dinginnya atau hanya sekedar hiasan belaka ac ini",n
Harap kerjasama yang baik untuk universitas,p
Fungsikan ac itu apa pajangan perbanyak tanaman dikampus cinta lingkungan,n
Semoga dengan kuisioner ini menjadi lebih baik lagi,p
"Tingkatkan fasilitas kampus seprti ac dalam ruangan agar mahasiswa tidak gerah, wifi kampus mohon ditingkatkan seperti kampus lain",p
Ac harus hidup proyektor harus top,n
"Wifi, kipas/ac",p
"Pendingin ruangan kurang dingin, diservis/ditambah ",n
Itu ac atau aksesoris ya,n
Ganti lcd proyektor disemua ruangan perbaiki ac karena kurang dingi tambahkan sistem portal untuk mahasiswa lalu perbaiki jaringannya tambahkan ruang praktikum untuk jurusan teknik geologi,p
"Untuk portal sebaiknya tidak hanya dikampus 1, tetapi dikampus 3 juga diberi, jadi ketika ingin melihat informasi nilai dan sebaiknya tidak harus dikampus 1",p
"Tambahan komputer biar bisa lihat niolai dikampus 3 dan tidak prlu dikampus 1, ac, kantin, lantai diruang p-14 diperbaiki",p
Sarannya semoga wifi tidak macet-macet dan sinyalnya kuat,p
Diberi ruang bebas rokok,p
"Fasilitas wifi dikampus 3 tidak ada padahal kita butuh, parkiran gedung kampus 3 diberi penutup",n
Sarana prasarana kelas harap diperhatikan kalau bisa tambahkan ac sehingga kuliah siang tidak panas,p
Ac diperbaharui agar mahasiswa tidak kepanassan,n
Ruanganya panas,n
"Sebaiknya fasilitas yang ada diperbaiki kembali supaya lebih maksimal, pabila tidak ada ditambahklan. sebaiknya dikampus 3 diberi portal supaya mahasiswa lebih mudah melhat informasi mengenai kuliahnya",p
"Pak ellyawan dosen yang baik dan berkompeten dalam mengajar, hanya kelas panas, jadi tidak konsentrasi",p
Ini ac apa asesoris kok panas,n
"Papan tulis terutama dikampus 3 yang rusak seharusnya diperbaiki atau diganti sekalian, diganti yang lebih luas, lantai dikampus 3 diganti apabila ada yang rusak, jangan cuma dilihatin aja, komputer dikampus 3 diaktifkan kembali ",p
Untuk geokomputasi praktik penggunaan software tidak ada ac seperti ga ada fungsinya sekedar aksesoris,n
"Ac banyak yang kurang berfungsi spidol habis, harap diisi",n
"Fasilitas wifi dikampus perlu diperbaiki, untuk memudahkan mahasiswa mengakses tugas-2 yang diberikan",p
Tolong diadakan wifi umum untuk mahasiswa dikampus 3 dan sinyalnya baik,p
"Kenyamanan ruang sangat2 tidak layak, bangku banyak yang rusak percuma bayar mahal2 fasilitas kurang maksimal",n
"Ruangan panas jadi tidak bisa konsentrasi belajar ac nya ditambah/diperbaiki mohon dosen diperjelas materinya (ellyawan setyo arbintarso, s.t, m.sc,p.hd)",n
Ac kurang dingin,n
"Untuk kampus 3 kurang memadainya lahan parkir sehingga parkir tidak rapi, kondisi kampus kecil tetapi mahasiswa terlalu banyak sehingga terlalu padat",n
Tolong ac nya diperbaiki,n
Tingkatkan fasilitas penunjang perkuliahan,p
"Penyampaian ang kompeten dan kurang toleransi terhadap penjelasanya kurang (ellyawan setyo arbintarso, s.t, m.sc,p.hd)",n
"Karena mengumpulkan tugas tapi nilai tidak keluar padahal tepat waktu dan format benar (ellyawan setyo arbintarso, s.t, m.sc,p.hd)",n
"Cara menerangkan njlibet, penguasaan materi emang ok tapi penjelasanyak urang (ellyawan setyo arbintarso, s.t, m.sc,p.hd)",n
Kursi kampus ganti lipat ,p
"Materinya mohon diberikan semua diawal kuliah, terima kasih telah mengajar kampi pak (devais mokroelektronika)",p
"Lengkapi dan perbaiki semua fasilitas mahasiswa wifi komputer,tempat parkir diperhatikan",p
Ac lebih didinginkan lagi,n
Pak sigit sangat baik dalam mengajar dan saya sebagai mahsiswa cukup mengerti namun jam belajar terlalu sebentar dan kami berharap besok untuk jam belajarnya diperpanjang kalu perlu diadakan kuliah malam untuk matakuliah ini. ,p
"Penjelasan kurang jelas minilai mahasiswa sangat sadis (ellyawan setyo arbintarso, s.t, m.sc,p.hd)",n
"Pak sigit jaga kesehatan ya pak, biar bisa tetap ngajar kita dan menginspirasi",p
Tiap ruang kelas harap diberi tempat duduk didepan kelas,p
"Lebih bisa menjelaskan dengan sabar dan jelas (ellyawan setyo arbintarso, s.t, m.sc,p.hd)",n
Harp tepat waktu,n
Penambahan saran dan prasarana kemanan kampus (cctv) ,p
Lebih tetib lagi jadwal kuliah,p
"Lebih dikembangkan lagi (ellyawan setyo arbintarso, s.t, m.sc,p.hd)",p
"Perlu ditingkatkan lagi kenyamanan ruangn, ac kurang dingin ",n
"Jangan memberatkan mahasiswa (ellyawan setyo arbintarso, s.t, m.sc,p.hd)",n
Memberi kursi untuk setiap ruang kuliah didepan ruangan kelas,p
"B1.11 screen gak ada, mushola diberi loker, parkiran dilebarkan ",n
Ruang kelas bagian barat harap dipasang ac,n
Ruangan cat & fasilitas diperhatikan !!!,n
"Ruang kelas bagaian barat dikasih ac biar tidak panas,parkiran di tambah lagi",p
"Tidak dapat menjelaskan materi dengan jelas , ketertiban kelas perlu diperbaiki (teknik kendali dasar)",n
"Biar dosen bisa lebih deket, perlu mendekatkan diri lagi pada mahasiswa agar pemahaman mahasiswa bisa lebih baik (dra. dwi setyowati, m.t)",p
Semoga fasilitas di ruangan semakin memadai,p
Lebih baik untuk ruangan kelas dan ditngkatkan lagi fasilitasnya,p
Fasilitas kelas diperlengkap dan diperbaiki,p
Fasilitas dan kelengkapan ruangan perlu dilengkapi,p
Pai elektro : diberikan contoh saat untuk menunjang pembelajaran,p
"Untuk mk fisika dasar tergolong mk yang sulit, maka harus diimbangi dengan dosen agar mahasiswa tau maksud dan mendapat nilai baik dosen humris dan cepat namun tidak paham (dra. dwi setyowati, m.t)",n
Saat dalam kbm tolong mahasiswanya lebih dikondisifkan iru saja (pai elektro),n
"Harap dosen mengenal baik mahasiswa yang mengikuti kuliahnya (dra. dwi setyowati, m.t)",p
Memberikan ilmu atau motivasi yang berfanfaat bagi mahasiswa,p
"Dalam pembelajaran tolong, pada saat pembagian tugas lebih detail dalam menerapkan waktu",p
"Dosen yang mengajar mipa kalau ngajar diusahakan yang lebih menarik, ruangan kelas ber ac",n
Ac terlalu panas kasih gorden jendela atapnya bocor,n
"Mk fisika dasar itu kejar target, mahasiswa belum mengerti sudah lanjut lagi (dra. dwi setyowati, m.t)",n
"Saran saya dosen dan mahasiswa itu harus akrab dan lebih dekat agar mudah dalam pembelajaran (dra. dwi setyowati, m.t)",p
Ac kurang dingin,n
"Hendaknya dalam penggunaan teknologi disisipi multimedia video, gambar dll agar lebih mengenai penggunaan powerpoint. sudah biasa dilakukan sehingga kurang menarik",p
Ac kurang dingin\ papan tulis rusak ohp/lcd jelek spidol kadang tidak ada atap bocor kursi jelek,n
"Penyampaian kurang jelas, mohon k=yang jelas",n
"Lebih diperhatikan lagi kenyamanan ruang kelas seperti ac, penutup kaca dll",p
"Penyampaian materi kurang jelas sehingga selurh mahasiswa takut (dra. dwi setyowati, m.t)",n
Tambah ac panas sekali,n
Dipertimbangkan lagi kebersihan wilayah kampus ist akprind yogyakarta,n
"Pendingin ruangan harap dibenahi karena tidak berfungsi, tempat duduk juga lebih baik diganti karena kurang nyaman",p
Fasilitas belajar mengajar lebih ditingkatkan,p
"Sebaiknya sarana penunjang kelas diperhatikan, seperti kursi yang sudah tidak layak euanngan diberi ac agar mahasiswa nyaman dosen mampu memberikan motivasi kepada mahasiswa dan dtidak bosan saat dikelas",p
Sebaiknyalebih ditingkatkan lagi dan prasarana kampus dan ketika ada ujian pengawas lebih ketat agar mahasiswa tidak berbuat curang,p
"Ac rusak papan tulis kotor, spidol macet tolong diperhatikan tolong direnofasi buku geologi diperbanyak",n
Ruangan ac kurang dingin,n
Freon ac ruang s206 diisi white board agak kusam dan spidol sering habis lcd sudah rusak,n
"Akses internet dipermudah untuk lingkungan kampus baik kampus 1, 2 dan 3",p
Tolong disediakan wifi gratis untuk mahasiswa kampus 3,p
Ac didalam kelas dilebihkan fungsinya karena suhu kelas panas transkrip nilai dapat dilihat dirumash tanpa harus ke portal kampus,p
Ruangan bocor,n
Ruangan kurang dingin,n
Koneksi internet dilingkungan kampus & pengok diperhatikan karena sulit diakses (wifi),n
Koneksi internet dilingkungan kampus balapan dan pengok diperhatikan ,n
"Sarana kampus tempat berkumpul serta koneksi internet, wifi disetiap sududt kampus dapat meningkatkan mahasiswa",p
Pak hani mengajarnya jangan membedakan antara s1 dan d3 agar kami bisa mengembangkannya,n
Sediakan ohp baru dan perbaiki lcd yang sudah rusak atau ganti lcd yang sudah rusak,p
Lcd rusak mohon diganti,n
"Titik wifi kampus harap ditambah !!, parkir sepeda motor harap diperluas !",n
"Wife mahasiswa mana? lcd jelek, ac tidak berfungsi",n
"Parkiran diperluas, jaringan wifi diupgrade bandwithnya",n
Fasilitas kampus (dikelas) yang rusak harap diganti kebersihan kampus dan kelas harap ditingkatkan,p
"Ruang kelas panas, ac tidak berfungsi dengan baik spidol tidak bisa dipakai",n
"Ac yang sudah dipasang dikelas tolong diperhatikan fungsinya, kerna banyak yang tidak jadi",p
Dimohon kepada institut untuk memperbaiki dan menambahkan fasilitas penunjang dalam proses belajar mengajar mahasiswa,p
Wifi dan ac !!!,n
"Lebih cepat datang kampusm (tempat waktu) pdt. purwanto rachmat, sth.",n
"Ac kampus 3, wifi kampus 3, kantin kampus 3",n
"Datangnya tepat waktu ya pak pdt. purwanto rachmat, sth.",n
"Ac, wifi, papan tulis, kursi, proyektor, kantin harap diganti",n
Ac tidak dingin,n
"1. wifi kampus mohon diperbaiki, 2. ac kelas, 3. meja krsi diganti",p
"Lcdnya tolong dicek agar ketika presentasi tidak bermasalah terus (kabel, warna)",n
Dosenya membahas terlalu cepat dan sulit dipahami dan ac kurang dingin,n
Ac kurang dingin jumlah mahasiswa banyak sehingga ruang kelas kelas terasa panas,n
"Wifi internet, ruang kelas berac, referensi dilengkapi, disediakan kantin dikampus 3, kampus bebas asap rokok, tempat parkir diperluas/diperbagus",p
Ditingkatkan lagi dari segi runagna kelas dan kenyamanan dan fasilitas di kembangkan,p
"1. materi praktikum sebaiknya dicross chek oleh dosen pembimbing sebelum praktikum dimulai pada awal semester, 2. materi praktikum ditambahkan lagi regresi probit dan poisson, 3.ac",p
